Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,Al Rajhi Co. for Cooperative Insurance,,,B3P6M52,,"10,554","328,280",0.00%,
Listed Equity,,,,"Alamos Gold, Inc.",,,BZ3DNP6,,"292,367","16,951,878",0.01%,
Listed Equity,,,,Alcon AG,,,BJT1GR5,,"268,814","32,197,931",0.01%,
Listed Equity,,,,Aldar Properties PJSC,,,B0LX3Y2,,"4,834,763","17,173,435",0.01%,
Listed Equity,,,,"Alexandria Real Estate Equities, Inc.",,,2009210,,"41,503","3,090,709",0.00%,
Listed Equity,,,,Alfa Laval AB,,,7332687,,"215,307","16,310,296",0.01%,
Listed Equity,,,,Alibaba Group Holding Ltd.,,,BK6YZP5,,"7,517,348","206,818,686",0.08%,
Listed Equity,,,,Alibaba Health Information Technology Ltd.,,,BRXVS60,,"972,000","945,703",0.00%,
Listed Equity,,,,"Alimentation Couche-Tard, Inc.",,,BL56KN2,,"406,823","33,361,739",0.01%,
Listed Equity,,,,Alinma Bank,,,B39NWT3,,"120,818","1,177,642",0.00%,
Listed Equity,,,,Alior Bank SA,,,B8W8F13,,"33,671","1,551,210",0.00%,
Listed Equity,,,,Alkem Laboratories Ltd.,,,BYY2WB4,,"117,332","10,779,628",0.00%,
Listed Equity,,,,Allegion Plc,,,BFRT3W7,,"77,611","18,530,739",0.01%,
Listed Equity,,,,Allegro.eu SA,,,BMBQDF6,,"382,145","4,944,459",0.00%,
Listed Equity,,,,Alliant Energy Corp.,,,2973821,,"98,264","9,579,580",0.00%,
Listed Equity,,,,Allianz SE,,,5231485,,"293,130","201,598,712",0.07%,
Listed Equity,,,,Almarai Co. Ltd.,,,B137VV2,,"53,393","923,461",0.00%,
Listed Equity,,,,"Alnylam Pharmaceuticals, Inc.",,,B00FWN1,,"11,716","6,986,380",0.00%,
Listed Equity,,,,Alpha Bank SA,,,BTJZ707,,"2,102,661","13,257,411",0.00%,
Listed Equity,,,,"Alphabet, Inc.",,,BYVY8G0,,"2,340,872","1,098,737,251",0.41%,
Listed Equity,,,,"Alphabet, Inc.",,,BYY88Y7,,"2,061,471","970,067,631",0.36%,
Listed Equity,,,,AlRayan Bank,,,B0VR7W0,,"8,791,044","7,943,799",0.00%,
Listed Equity,,,,ALROSA PJSC,,,B1FY8D2,,"1,150,440",0,0.00%,
Listed Equity,,,,ALROSA PJSC,,,B6QPBP2,,"5,271,603",0,0.00%,
Listed Equity,,,,ALS Ltd.,,,B86SZR5,,"6,090,783","134,240,857",0.05%,
