Liable entity,Assessment year,LGC liability (Number of certificates)#,LGCs accepted for surrender,Remaining LGC Shortfall (Number of certificates),LGC shortfall (percentage of total LGC liability),"LGC shortfall charge issued (Y/N) *","LGCs surrendered for refund *",Value of LGC shortfall charge ($),LGC shortfall status *
Alinta Energy Retail Sales Pty. Ltd.,2024,"920,317","2,386","917,931",99.74,Yes,0,"59,665,515 ",No LGCs surrendered for refund
Alinta Sales Pty Ltd,2024,"570,182","1,737","568,445",99.69,Yes,0,"36,948,925 ",No LGCs surrendered for refund
Lumo Energy (SA) Pty Ltd,2024,"54,453",98,"54,355",99.82,Yes,0,"3,533,075 ",No LGCs surrendered for refund
Lumo Energy Australia Pty Ltd,2024,"161,736",0,"161,736",100.00,Yes,0,"10,512,840 ",No LGCs surrendered for refund
MAXIMUM ENERGY RETAIL PTY LTD,2024,"2,462",0,"2,462",100.00,Yes,0,"160,030 ",No LGCs surrendered for refund
Red Energy Pty. Limited,2024,"1,528,119","693,418","834,701",54.62,Yes,0,"54,255,565 ",No LGCs surrendered for refund
AMBER ELECTRIC PTY LTD,2025,"61,176","56,216","4,960",8.10,No,0,0 ,Carried forward shortfall
Aurora Energy Pty Ltd,2025,"714,825","126,597","588,228",82.28,Yes,0,"38,234,820 ",No LGCs surrendered for refund
Change Energy Pty LTd,2025,"33,571","32,710",861,2.56,No,0,0 ,Carried forward shortfall
CleanCo Queensland Limited,2025,"623,661","561,495","62,166",9.96,No,0,0 ,Carried forward shortfall
CovaU Pty Limited,2025,"78,008","70,293","7,715",9.89,No,0,0 ,Carried forward shortfall
GENUITY RETAIL PTY LTD,2025,"139,913","132,334","7,579",5.41,No,0,0 ,Carried forward shortfall
Lumo Energy (SA) Pty Ltd,2025,"56,484",0,"56,484",100.00,Yes,0,"3,671,460 ",No LGCs surrendered for refund
Lumo Energy Australia Pty Ltd,2025,"174,117",0,"174,117",100.00,Yes,0,"11,317,605 ",No LGCs surrendered for refund
Momentum Energy Pty Limited,2025,"751,125","691,035","60,090",8.00,No,0,0 ,Carried forward shortfall
Next Business Energy Pty Ltd,2025,"143,768","130,500","13,268",9.22,No,0,0 ,Carried forward shortfall
PACIFIC BLUE RETAIL PTY LTD,2025,"217,042","195,989","21,053",9.69,No,0,0 ,Carried forward shortfall
Perdaman Energy Retail Pty Ltd,2025,"7,009","6,866",143,2.04,No,0,0 ,Carried forward shortfall
Red Energy Pty. Limited,2025,"1,549,666","591,281","958,385",61.84,Yes,0,"62,295,025 ",No LGCs surrendered for refund
Sumo Power Pty Ltd,2025,"93,022","85,007","8,015",8.61,No,0,0 ,Carried forward shortfall
ZEN ENERGY RETAIL PTY LTD,2025,"225,921","225,831",90,0.03,No,0,0 ,Carried forward shortfall
